message_uid,conversation_id,candidate_cluster,customer_text,weak_intent,weak_margin,weak_dist_best,silver_accept
1001329::cust0::1001329,1001329,7,"""Thanks for paying $600 for your flight on [MENTION] ; now two people will smash your ribs for five hours.""",missed_connection_rebooking,0.0129,0.6636,True
1001331::cust0::1001331,1001331,7,Fraud issues on my [MENTION] cc. Frustrating that I'm not earning [MENTION] miles while I wait for a new card. #savingforsummer,refund_request,0.0083,0.7389,True
1001333::cust0::1001333,1001333,10,[MENTION] We paid $50 for baggage handling and you broke bags #AmericanAirsucks [URL],baggage_delayed_lost,0.0575,0.6205,True
1001333::cust1::1001334,1001333,10,[MENTION] Broken personal products in luggage. How hard did you throw our bags around [MENTION] Americ? [URL],baggage_delayed_lost,0.0545,0.6393,True
1001333::cust2::1031648,1001333,3,[MENTION] How do we do that?,other_acknowledgement_thanks,0.0114,0.6363,True
1001336::cust0::1001336,1001336,5,"[MENTION] thx for everything yesterday, amazing view, amazing treatment and amazing flight! [URL]",positive_feedback_praise,0.0499,0.5641,True
1001529::cust0::1001529,1001529,5,[MENTION] Cutest couple (he's a vet) flying AA for honeymoon. Any way to have crew announce congratulations?,positive_feedback_praise,0.0179,0.7215,True
1001546::cust0::1001546,1001546,2,Is checking in 2 hours before departure not enough time for DFW to load my bags? [MENTION],baggage_delayed_lost,0.0052,0.7465,False
1001548::cust0::1001548,1001548,5,"Hey [MENTION] , thanks for the breathtaking views on the ride into ORD this morning! (AA248) #cloudporn #travelphotography [URL]",positive_feedback_praise,0.0528,0.7299,True
1001551::cust0::1001551,1001551,5,The one time we fly [MENTION] &amp; they lose our damn luggage on a non stop flight. Way to kick off the wedding anniversary weekend 😡,missed_connection_rebooking,0.0123,0.6903,True
1001551::cust1::1001550,1001551,10,"[MENTION] did when they didn't come off plane Now all I get ""still tryin 2 locate your bags"" please check later WTH are we supposed 2 do w/no luggage",forced_gate_check_complaint,0.0018,0.5205,False
1001554::cust0::1001554,1001554,2,"So [MENTION] can't resolve ""pending"" tix issue after 48hrs &amp; can't connect me to tix dept to resolve. Cancel tix &amp; AA loses out on $4500.",flight_cancellation,0.0579,0.7405,True
1001594::cust0::1001594,1001594,5,[MENTION] you’ve got a great crew on 4635. They invited first time flyers to see the cockpit and genuinely thanked us for flying AA.,positive_feedback_praise,0.0554,0.6443,True
1001596::cust0::1001596,1001596,5,Wow that was crazy.. never been on a plane diverted for an emergency. Big props to our pilot at [MENTION] for getting us down so fast.,flight_delay,0.0025,0.7528,False
1001705::cust0::1001705,1001705,0,"[MENTION] done with UK job, off to the states with the 787-8. Looking for another cozy ride. #closertoplatinum [URL]",positive_feedback_praise,0.0058,0.698,True
1002::cust0::1002,1002,5,Ben Tennyson and an American Airlines pilot. 🎃 #trunkortreat #halloween #2017 #diycostume #parenting [MENTION] … [URL] [URL],other_non_actionable,0.0045,0.7718,False
1002409::cust0::1002409,1002409,3,CMH✈️LGA BDL✈️CMH CMH✈️ORD ORD✈️CMH CMH✈️ORD ORD✈️LHR LHR✈️CMH CMH✈️LGA LGA ✈️CMH I'm fully confident I'll level up on [MENTION] again,other_non_actionable,0.0088,0.7191,True
1002409::cust1::1002408,1002409,3,"[MENTION] [MENTION] Hey, I see Bradley on there! CT REPRESENT!",other_non_actionable,0.0313,0.715,True
1002409::cust2::1002407,1002409,8,[MENTION] [MENTION] Yessir!,other_acknowledgement_thanks,0.0717,0.4937,True
1002416::cust0::1002416,1002416,8,Hi! [MENTION] &amp; [MENTION] Need your help! Sent a bunch of info via DM Thanks so much in advance!,other_acknowledgement_thanks,0.0404,0.6815,True
1002416::cust1::1002415,1002416,3,[MENTION] Certainly!,other_acknowledgement_thanks,0.0839,0.5318,True
1002419::cust0::1002419,1002419,9,[MENTION] y’all have the worst customer service I have ever experienced. FIX IT please,general_dissatisfaction_venting,0.0176,0.5827,True
1002419::cust1::1002418,1002419,7,"[MENTION] You all should give me a cash voucher, I was on flight 1449 from HOU to DFW. And because of DFW’s airport myself and 30+ are stranded here [MENTION] And y’all have no available flights for today so we’re all on standby, either And I have class tmr, all I’m saying is a little something...",missed_connection_rebooking,0.0225,0.5716,True
1002424::cust0::1002424,1002424,2,Delayed [MENTION] from AUS arrived in DFW 5 min prior departing flight to DCA. Hold for a few min? Nope it left 3 min early! #rebookline [URL],flight_delay,0.0282,0.6131,True
1002424::cust1::1002423,1002424,2,[MENTION] Just arrived at the gate. That fight to ORD is delayed as well and since we aren't holding planes today I'll work to book another one.,flight_delay,0.0165,0.659,True
1002424::cust2::1002426,1002424,8,[MENTION] I'm appreciative of the rebooking help.,positive_feedback_praise,0.0264,0.6782,True
1002428::cust0::1002428,1002428,0,"[MENTION] return home !! Rocio &amp; Tomas rigth now, AA 999 from Miami to Buenos Aires !!! [URL]",positive_feedback_praise,0.0088,0.6477,True
1002430::cust0::1002430,1002430,6,S/O to the lady at [MENTION] for moving seats around for me to sit next to [MENTION] ! We didn’t even have to ask!! #ORDgateK20,seat_assignment_change,0.0506,0.6463,True
1002436::cust0::1002436,1002436,1,"Everything is terrible, [MENTION] cancelled my flight and is going to charge me more money to change my flight.",flight_cancellation,0.0629,0.6455,True
1002436::cust1::1002434,1002436,9,[MENTION] [MENTION] Wait — *they* cancelled it but aren't rescheduling you at no charge? What the hell?,flight_cancellation,0.0319,0.6253,True
1002436::cust2::1002433,1002436,9,[MENTION] [MENTION] That’s what the phone service person told me…I won’t know until I get to the ticketing counter,change_fee_dispute,0.0135,0.5937,True
1002436::cust3::1002432,1002436,9,"[MENTION] Ah, so the call center agent was wrong?",staff_conduct_complaint,0.0016,0.6811,False
1002986::cust0::1002986,1002986,6,[MENTION] Look into your process for fams with children at AUS. Curbside doesn’t take carseats and inside is a 3step process w/ no help,service_failure_complaint,0.0029,0.7574,False
1002995::cust0::1002995,1002995,7,Canceling my [MENTION] rewards cc today. No flexibility at all. Book a reward flight after spending thnds &amp; need to make a change? Nope [MENTION] Seriously. 10s of thousand spent on that credit card and no flexibility. Why am I using this card if they won’t actually help? Done. [MENTION] I’m a credit card and airline free agent.,change_fee_dispute,0.0006,0.6867,False
1002995::cust1::1002991,1002995,7,[MENTION] Not availability problem. Have to make a last minute change and now I have to forfeit all the miles I spent. Ridiculous. [MENTION] [MENTION] I’m coming home.,general_dissatisfaction_venting,0.0003,0.6591,False
1002998::cust0::1002998,1002998,6,[MENTION] why should I pay extra for a premium seat when you flight attendants let anyone move into it for free? Just another ripoff.,change_fee_dispute,0.0552,0.6526,True
1002998::cust1::1002997,1002998,0,[MENTION] AA295 out of Miami. He asked them and they said “sure no problem”.,positive_feedback_praise,0.0226,0.6938,True
1002998::cust2::1003000,1002998,6,[MENTION] That doesn’t do me any good. I was charged for a seat I can get for free. Never again.,seat_assignment_change,0.0373,0.6096,True
1003018::cust0::1003018,1003018,2,Love that [MENTION] pushed away from gate so as we taxied they announced we would sit on the runway 1.5 hours. On time departure though!,flight_delay,0.0113,0.6813,True
1003018::cust1::1003015,1003018,0,[MENTION] I know it is from weather. Heading back to the gate hopefully we get out today!,other_non_actionable,0.0045,0.6815,False
1003018::cust2::1003016,1003018,5,[MENTION] Back in the plane let's get this bird in the air!,other_non_actionable,0.0382,0.5822,True
1003020::cust0::1003020,1003020,1,Super disappointed with [MENTION] this morning! Considering canceling my Advantage card and using other airlines from now on! #badservice,general_dissatisfaction_venting,0.0134,0.573,True
1003048::cust0::1003048,1003048,11,JUST made my new flight. [MENTION] came through when I was about to lose it. Now I can go home (way earlier than anticipated) &amp; rest.,missed_connection_rebooking,0.0519,0.6505,True
1003051::cust0::1003050,1003051,9,"[MENTION] According to [MENTION] customer service there were no notifications in place. Meanwhile, [MENTION] [MENTION] did &amp; helped fellow travelers.",general_dissatisfaction_venting,0.0069,0.5727,True
1004114::cust0::1004114,1004114,9,"Bad customer service , and unexceptional manners [MENTION]",staff_conduct_complaint,0.0378,0.756,True
1004114::cust1::1004113,1004114,11,[MENTION] I missed my connecting flight because I had a sick baby this morning. My first flight was switched until tomorrow and I called to have my [MENTION] American connecting flight and he told me since I paid cheaper for my flight he could not help me,missed_connection_rebooking,0.0499,0.4938,True
1004114::cust2::1004108,1004114,7,[MENTION] On a basic fare even if he would have said oh well you have to pay a little extra to change it I would have been fine with that [MENTION] But to say a flat out no and that he could help me is like wow. You clearly just don't even want to try to help me,change_fee_dispute,0.0371,0.6404,True
1004117::cust0::1004117,1004117,6,[MENTION] you should be embarrassed I have to pay extra to sit as a family with a 2 year old and a 5 year old,seat_assignment_change,0.0034,0.7928,False
1004117::cust1::1004116,1004117,1,"[MENTION] The team's best today was a shrug ,negotiate with fellow flyers. It lacks empathy and common sense. Flight attendts can change diapers now.",staff_conduct_complaint,0.0288,0.7011,True
1004120::cust0::1004120,1004120,4,Snow? Sand? Clouds? [MENTION] #upintheair [URL],other_non_actionable,0.0233,0.8128,True
1004127::cust0::1004127,1004127,1,#AmericanAirlines [MENTION] [MENTION] disappointed- decade+ of loyalty and fortune in unused tickets that can’t use - no courtesy,flight_cancellation,0.0301,0.7329,True
1004132::cust0::1004132,1004132,11,[MENTION] hi I need some help I’m missing my flight,missed_connection_rebooking,0.0277,0.4732,True
1004132::cust1::1004130,1004132,9,[MENTION] I’ve been on hold on the phone for 10+ minutes can someone help please,flight_delay,0.0139,0.7065,True
1004134::cust0::1004134,1004134,2,[MENTION] flight 3305 been sitting on runway 20 minutes waiting for the flight plan. Seriously is this your first week of flying?,missed_connection_rebooking,0.0095,0.6266,True
1004398::cust0::1004398,1004398,11,"Any airline that can help me and my friend get home to Sonoma County, CA? We’re currently in Copenhagen [MENTION] [MENTION] [MENTION]",flight_status_inquiry,0.0172,0.7777,True
1004398::cust1::1004397,1004398,0,"[MENTION] I’m asking for help beyond the websites. Do you know about the wildfires in Northern California? 100,000 acres have burned. Please.",other_non_actionable,0.0108,0.7775,True
1004753::cust0::1004753,1004753,2,"Thanks, [MENTION] . 4th delay. Haven’t left my home airport yet. No explanation, just automation. #valuedcustomer",flight_delay,0.0132,0.5972,True
1004753::cust1::1004751,1004753,9,"[MENTION] Is it maintenance? None of us know, and there are a lot of us here. Thanks for being patronizing. Your approach makes us all feel valued.",service_failure_complaint,0.015,0.6837,True
1004753::cust2::1004749,1004753,2,[MENTION] Thanks. They just announced that they’ve almost arrived after delay due to weather ... [MENTION] Guess the mechanics were fixing the plane as it flew?,flight_delay,0.0098,0.5436,True
1004756::cust0::1004756,1004756,1,[MENTION] the attendant in Dallas for flight AA0335 truly is making a piss poor attempt to provide acceptable customer service today! [URL] [MENTION] There’s literally no reason why I had to say “Hi. Good Morning!” to her 3x to get a response AFTER she made 👀 contact w/ me.,staff_conduct_complaint,0.0539,0.5731,True
1004759::cust0::1004759,1004759,11,[MENTION] Hi am I able to upgrade and Avis booking in economy to business on an international flight with money. Thanks.,flight_status_inquiry,0.0365,0.7069,True
1004759::cust1::1004758,1004759,8,[MENTION] Thanks guys will send you now.,other_acknowledgement_thanks,0.126,0.5106,True
1004761::cust0::1004761,1004761,4,"Probably shouldn't have been running the [MENTION] with a heel spur, but I'd do it all again. Thank you [MENTION] for the help. [URL]",other_non_actionable,0.0008,0.8105,False
1004775::cust0::1004775,1004775,7,Thanks [MENTION] for making changing my tickets to Htown this coming weekend so very easy. I screwed up. You fixed it. #wellplayed,seat_assignment_change,0.0464,0.6881,True
1004777::cust0::1004777,1004777,7,[MENTION] had a friend with an Executive AA credit card denied access to the Admirals Club at SFO yesterday. Can you help?,flight_status_inquiry,0.0078,0.7411,True
1004783::cust0::1004783,1004783,11,[MENTION] (2) understand my needs as a customer and they change the flight that they rescheduled,missed_connection_rebooking,0.0008,0.5315,False
1004793::cust0::1004793,1004793,5,[MENTION] Thank you for making my son's first flight memorable and having an awesome Flight Crew! [URL],positive_feedback_praise,0.0535,0.5922,True
1004795::cust0::1004795,1004795,0,First class upgrade for free 💁🏼. Thanks [MENTION] !,seat_upgrade_request,0.0072,0.8223,True
1004802::cust0::1004802,1004802,0,Now taking off: your next adventure. Prepare to get inspired by our new safety video. [URL],other_non_actionable,0.0052,0.8613,False
1004802::cust1::1004799,1004802,0,"[MENTION] If you get to take off! [MENTION] awful recently. Last trip to ORD, 4 hr late, i cancelled. Taking [MENTION] Tues. I do miss ur Prez Clubs",general_dissatisfaction_venting,0.0055,0.6757,True
1004802::cust2::1004797,1004802,6,"[MENTION] I'm tough, but fair. :) [MENTION] Your people are gr8, but you don't like luggage. And your MD-80's are best suited for cheerleaders, not the typical overweight passenger.",forced_gate_check_complaint,0.0346,0.6993,True
1004802::cust3::1004801,1004802,6,"[MENTION] The guy sitting in the middle, i was in aisle, was 6'5"". He had no place for legs, so we ""shared"" my space. Not fair.",forced_gate_check_complaint,0.0007,0.8287,False
1004810::cust0::1004810,1004810,9,[MENTION] I have had a day and a half with your phone customer service. You could at least provide free WiFi for the day.,service_failure_complaint,0.0059,0.6668,True
1004810::cust1::1004808,1004810,2,"[MENTION] Donna at ATL deserves a massive raise. But, about this free WiFi for the day.. a flight to RDU filled while I was on hold for 20 mins today [MENTION] Cmon.",flight_delay,0.013,0.703,True
1004810::cust2::1004805,1004810,3,[MENTION] WiFi code?,other_non_actionable,0.0286,0.7366,True
1005::cust0::1005,1005,7,"I’m sorry, what? It’s going to COST me $50 to transfer 4,000 AA Advantage points to my spouse? [MENTION] this is ridiculous!!",change_fee_dispute,0.0233,0.8422,True
1005::cust1::1004,1005,7,"[MENTION] Right, but I earned those. I also shouldn’t have to pay to pass them to my own spouse. You need to change your program.",refund_request,0.0312,0.7275,True
100551::cust0::100551,100551,11,"[MENTION] flying from Heathrow to New York on the 17th December and then from New York to New Orleans on the 22nd, will these flights be ok?? 🤞🤞",flight_status_inquiry,0.0208,0.6397,True
100551::cust1::100550,100551,8,"[MENTION] Thank you, all done",other_acknowledgement_thanks,0.203,0.4136,True
100553::cust0::100553,100553,7,So last year my son gets sick and we couldn't travel so i wanted to use the funds this year but American Airlines wouldn't extend a voucher by one week their response was sorry thanks for your money [MENTION],refund_request,0.0172,0.7588,True
100559::cust0::100559,100559,11,"[MENTION] What is happening here?? [URL] We've booked a package holiday through BA and are on an AA flight. If you cant get cover for our flight, what are our options? We are flying on 23rd December to Disney with children!!",flight_status_inquiry,0.0231,0.6154,True
100559::cust1::100557,100559,8,[MENTION] Thank you. When can we expect an update on this?,other_acknowledgement_thanks,0.0516,0.5408,True
100559::cust2::100555,100559,11,[MENTION] Thank you. It says departure and arrival info. Will that include any issues on the above? What are the chances on the flight going ahead? We're flying DUB-PHL-ORL.,flight_status_inquiry,0.0552,0.5429,True
100565::cust0::100565,100565,1,"Fuck [MENTION] and [MENTION] !! Gate changes, terminal changes, and delayed flight with no email, text, or verbal announcement &amp; no organization or direction from employees. Thank god [MENTION] keeps their flight info updated. 😑",flight_delay,0.0022,0.6068,False
100565::cust1::100563,100565,2,"[MENTION] We needed your update status an hour ago when we had no idea our flight terminal, gate, and take off time had changed. We figured it out for ourselves now.",missed_connection_rebooking,0.002,0.6066,False
100565::cust2::100561,100565,9,"[MENTION] We did that already...... and I’m an AAdvantage Member, still got no text or email updates [URL]",service_failure_complaint,0.0071,0.6707,True
100567::cust0::100567,100567,2,There hasn’t been a single time I’ve flown [MENTION] that it has been on time and I’m never flying it again,flight_cancellation,0.0117,0.6981,True
100570::cust0::100570,100570,10,When [MENTION] lines FORCES you to check your bag when there was more than enough space by your seat 🙄🙄🙄🙄🙄 highly annoyed [URL],forced_gate_check_complaint,0.0888,0.6277,True
100583::cust0::100583,100583,2,"Another day, another opportunity to get f—-d by [MENTION] . [MENTION] Pro tip, [MENTION] : If your pilots would show up more than 240 seconds before scheduled takeoff, they’d have more time to deal with your disintegrating airplanes.",flight_delay,0.0018,0.6191,False
100583::cust1::100572,100583,3,[MENTION] [MENTION] But what happens when you consistently fail to meet your goals?,general_dissatisfaction_venting,0.0085,0.678,True
100583::cust2::100574,100583,0,"[MENTION] [MENTION] [MENTION] If you're Tesla, you continue to take in oodles of investor money",refund_request,0.0067,0.7835,True
100592::cust0::100592,100592,5,I’m getting Poke from Pokeland as soon as I get back to TO. I’m freaking hungry as heck and [MENTION] didn’t give out any crappy snacks on my flight :(,missed_connection_rebooking,0.0094,0.7631,True
100592::cust1::100591,100592,11,[MENTION] Well at least I got a reply with my name spelled correctly and an opportunity to buy overpriced gross airplane food 😆,refund_request,0.0055,0.5647,True
100596::cust0::100596,100596,11,Are you flying [MENTION] this #holidayseason ? You might want a flight update. 🤔 [URL],flight_status_inquiry,0.0284,0.6145,True
100596::cust1::100594,100596,5,[MENTION] Thanks for your response [MENTION] . I hope things work out for pilots and passengers trying to get home for the holidays 👍🏽,flight_status_inquiry,0.0028,0.5399,False
100599::cust0::100599,100599,11,[MENTION] Does the pilot issue affect Republic and PSA AA EAGLE flights?,flight_status_inquiry,0.0188,0.7558,True
100599::cust1::100598,100599,11,"[MENTION] My Question was whether republic pilots and PSA pilots are part of the 15,000 affected by the glitch [MENTION] Answer??",flight_status_inquiry,0.0038,0.7398,False
100602::cust0::100602,100602,7,"😭😭 what's a girl gotta do to get an affordable honeymoon flight around here! I can't book any of these $1,300 flights, I just got married! What's the secret [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] I'm desperate here!",flight_status_inquiry,0.0057,0.7684,True
100610::cust0::100610,100610,11,[MENTION] whats gonna happen to flights if you cant get pilots? can we just get a refund now?cc [MENTION],refund_request,0.0118,0.5888,True
100610::cust1::100608,100610,8,[MENTION] Thanks for the boilerplate response. what happens if you dont?,other_acknowledgement_thanks,0.0305,0.6205,True
100610::cust2::100607,100610,11,[MENTION] you're like the time warner cable of airlines,general_dissatisfaction_venting,0.01,0.7559,True
100612::cust0::100612,100612,11,[MENTION] I won’t get to go home for a few years. Please don’t cancel my flights this December 🙏,missed_connection_rebooking,0.0126,0.6136,True
100616::cust0::100616,100616,9,"Too bad the outlets don’t work, ever! [MENTION]",service_failure_complaint,0.017,0.8487,True
100616::cust1::100614,100616,11,[MENTION] The power outlets on this flight -2681 and almost every other American Airlines flight don’t work,flight_status_inquiry,0.0142,0.6832,True
100618::cust0::100618,100618,5,[MENTION] #DalyInspirations flying into #LAX today. Thanks [MENTION] for a smooth ride [URL],positive_feedback_praise,0.0266,0.5968,True
1006193::cust0::1006193,1006193,7,"Is there a way to determine whether an [MENTION] ticket (purchased) is ""Basic Economy"" or traditional ""Economy""? I'm at a complete loss",flight_status_inquiry,0.005,0.7982,False
1006193::cust1::1006190,1006193,8,"[MENTION] Sure, send me a DM for the info you need?",other_non_actionable,0.0376,0.7045,True
1006193::cust2::1006189,1006193,7,[MENTION] The ticket was purchased in June,flight_status_inquiry,0.0084,0.7391,True
100620::cust0::100620,100620,11,"""I'll be home for Christmas — if only [MENTION] would schedule pilots for my flight"" 🎶"" [URL]",flight_status_inquiry,0.0123,0.6914,True
1006206::cust0::1006206,1006206,9,Really disappointed whenever I call [MENTION] customer service. Reps have 0 power or desire to help AAdvantage customers. When I fly [MENTION] I don’t have these issues,service_failure_complaint,0.0002,0.6489,False
1006206::cust1::1006205,1006206,9,"[MENTION] I’d like to just talk to one person about my challenge, not have to hang up, go to the website, fill out a form, and cross my fingers someone calls me back in 6 weeks. It’s a terrible customer experience. [MENTION] Calling customer service shouldn’t feel like you fell into the plot of Elmo in Grouchland",service_failure_complaint,0.0149,0.7313,True
1006206::cust2::1006201,1006206,3,[MENTION] Pretty sure that’s who I called,other_acknowledgement_thanks,0.0087,0.7063,True
1006210::cust0::1006210,1006210,10,Made it. Now to track down my luggage that’s still back in PHL. [MENTION] (@ Tampa International Airport) [URL],baggage_delayed_lost,0.0439,0.664,True
1006215::cust0::1006215,1006215,5,People always ragetweet at airlines so I want to take a minute to thank Denise &amp; Chrissy of [MENTION] for being AWESOME today! I cried.,positive_feedback_praise,0.0698,0.6396,True
1006215::cust1::1006213,1006215,3,[MENTION] I'd love you to recognize them because they deserve it. But I'm not sure what you mean by 'share our record locator.',other_non_actionable,0.0104,0.7266,True
1006215::cust2::1006212,1006215,5,"[MENTION] Oh, that would be IRLIFE. Would like to add an extra shout out to Erin the Gate Agent at LAX terminal 5. She was lovely &amp; got me on a plane.",positive_feedback_praise,0.0181,0.6129,True
100622::cust0::100622,100622,0,Thank you to Mrs Hernandez from [MENTION] for coming to talk to our social media class today [URL],other_non_actionable,0.009,0.756,True
1006224::cust0::1006224,1006224,1,Fuuuuuckkk .. I'ma fucking roll over .. Missed my flight because of the shitty service with [MENTION] . Your employees are trash asf .,general_dissatisfaction_venting,0.0249,0.5243,True
1006224::cust1::1006221,1006224,1,"[MENTION] Again thank you for the help, but your employees attitude was shocking, like he did it on purpose cause he knows he could. [MENTION] Thank you for responding, truly is appreciated. Been a really rough morning, missed my flight due to a rude employee of yours.. [MENTION] I have his information. I'd like my money back or whatever you can do to help because I should NOT be a roll over passenger. [MENTION] And also now because of him, I had to pay an extra fee .. I was on time and prepared but due to false info, he held me up. [MENTION] Never dealt with that kind of service at the airport before and I was really surprised about it this time. [MENTION] [MENTION] 😒 [MENTION] [MENTION] Never flying with you again and I will be letting all my friends and family know not to fly with you as well.",staff_conduct_complaint,0.0184,0.583,True
1006227::cust0::1006227,1006227,1,Hey American Airlines - Fuck You [MENTION] Flight 4540 to JFK. We’ll never fly this shitshow again.,missed_connection_rebooking,0.0072,0.749,True
1006229::cust0::1006229,1006229,2,I’ve been waiting for them to get their shit together longer than I’ve been traveling today.... [MENTION] 🖕🏾,baggage_delayed_lost,0.0007,0.7054,False
1006233::cust0::1006233,1006233,11,Just had a lovely on time flight from PWM to Philly on [MENTION] even upgraded to business. Question: Is this necessary? #nastyfeet [URL],flight_status_inquiry,0.0258,0.7372,True
1006233::cust1::1006232,1006233,1,[MENTION] [MENTION] Neither do they think on time flights and good customer service are necessary!,flight_cancellation,0.0189,0.5878,True
100624::cust0::100624,100624,0,[MENTION] thanks to Annette Hernandez for an awesome presentation and water bottles! [URL],positive_feedback_praise,0.0038,0.703,False
100626::cust0::100626,100626,0,Big thanks to Annette from [MENTION] for coming to speak to our class today! So cool to hear all about how great their social media is!,positive_feedback_praise,0.0366,0.7133,True
100629::cust0::100629,100629,7,One of the reasons I hate flying [MENTION] — trying to get home earlier after traveling on business and they want to charge you an arm and a leg. #stupid #ripoff,change_fee_dispute,0.0093,0.6735,True
100629::cust1::100628,100629,9,[MENTION] It’s too late. I’m already one leg away from being home. I spoke with two AA reps that told me and my co-worker the same thing. Neither of them were willing to help either of us.,service_failure_complaint,0.017,0.7415,True
1006905::cust0::1006905,1006905,5,Let’s fly this morning! [MENTION] [URL],other_non_actionable,0.0243,0.6454,True
1006907::cust0::1006907,1006907,9,[MENTION] thanks for your great customer service on this busy travel AM,positive_feedback_praise,0.0417,0.5278,True
1007250::cust0::1007250,1007250,0,[MENTION] the new (to me) safety video is awesome. I watched.,other_non_actionable,0.0043,0.8058,False
1007253::cust0::1007253,1007253,0,"Hit Gold status and I’m still Group 6? Hey [MENTION] , what gives? What’s the benefit of Gold if I’m still fighting for the overhead? [URL]",seat_upgrade_request,0.059,0.8083,True
1007253::cust1::1007252,1007253,3,[MENTION] I DM’d my locator. But just in case: PNAHAL,other_non_actionable,0.0488,0.6519,True
1007256::cust0::1007256,1007256,1,"Who on earth flys [MENTION] when other options? Another horrible #AmericanAirlines ops &amp; cust.svc experience [MENTION] . Rude, uninformed.",staff_conduct_complaint,0.0109,0.726,True
1007256::cust1::1007255,1007256,1,[MENTION] After being redirected multiple times &amp; no one would help-missed flight and don't have our luggage. Staff rude &amp; uninformed.,baggage_delayed_lost,0.0132,0.5199,True
1007256::cust2::1007258,1007256,9,[MENTION] Would like to speak directly w/someone.Calling cust svc line is absolute waste of time. Appreciate any assistance u can provide,other_non_actionable,0.0154,0.7862,True
1007263::cust0::1007263,1007263,1,"TIL American Airlines is straight garbage. 3.5+ hour delay, mechanical problems, multiple gate changes...friendly crew though. AND ITS A BRAND NEW PLANE Awful job today [MENTION]",flight_delay,0.0061,0.7592,True
1007265::cust0::1007265,1007265,3,"[MENTION] you better believe my 200,000 social media followers will get EVERY DETAIL",other_non_actionable,0.0096,0.7012,True
1007267::cust0::1007267,1007267,10,FUCK [MENTION] ..... The contents in my luggage were stolen by [MENTION] / [MENTION] . #IWorkHardBih,baggage_delayed_lost,0.0669,0.5961,True
