conversation_id,sampling_group,candidate_cluster,candidate_second_cluster,candidate_intent,candidate_domain,candidate_sub_intent,candidate_confidence,candidate_distance_best,candidate_ambiguity_margin,difficulty_score,n_messages,full_conversation_text,human_domain,human_intent,human_sub_intent,annotation_status,annotation_outcome,reviewer_notes,human_intent_r2,second_pass
1125899,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4539,0.0451,0.0667,4,"CUSTOMER:
Mood. V dismayed that @americanair knew last night that flight crew was on short rest yet did nothing to correct the situation. #delayed 😡 https://t.co/GRSKy7QtIn

AGENT:
@385470 Crews are required to complete mandatory rest time. We appreciate your patience with the extra wait this morning.

CUSTOMER:
@AmericanAir Dear @americanair I work in aviation industry. I get crew rest time. My point is YOU KNEW LAST NITE they wd be unable to take this flight.

AGENT:
@385470 Many of our stations were impacted with air traffic congestion delays and cancellations last night causing our crews to be out of rotation.",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,"Dominant issue is late departure, arrival, or tarmac/gate wait with flight still operating.",,True
1175679,representative,2,8,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.3514,0.0932,0.0667,6,"CUSTOMER:
So bummed with @AmericanAir 😐🙄

AGENT:
@396557 We're very sorry to hear of your disappointment with us. Give us a call at 800-433-7300 if we can assist.

CUSTOMER:
@AmericanAir Already contacted customer service there was nothing anyone can do for me. 😔😐✈️👎

AGENT:
@396557 What's going on? Let us know if it's something we can help with here.

CUSTOMER:
@AmericanAir You tell me if you can help me. I have a round trip ticket but I am going to miss my outgoing flight --driving to my destination instead. @AmericanAir I still need my flight coming home(no time date change necessary)but yall want to charge me an arm and a leg for a ticket I already paid for

AGENT:
@396557 You have to follow your segments in order otherwise your reservation will cancel.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,True
1176481,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4654,0.0916,0.1981,2,"CUSTOMER:
@AmericanAir currently on AA267 left the gate then came back and no one has given us any update been in the seat for over an hour, any news?

AGENT:
@188251 You should be in the air very shortly, Alex. We know that this delay is far from ideal and we appreciate your patience.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
1182739,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4249,0.0763,0.1167,2,"CUSTOMER:
@AmericanAir 2.5 hours delayed from NYC to BOS with minimal bad weather. Then delayed another 45 on runway only to find out we have to... @AmericanAir ...find out we have to go back to the gate because they just figured out they loaded the bags incorrectly. @AmericanAir A routine 1 hour flight has turned into 4 hours of a nightmare. Come on guys. I’m loyal to y’all, but this is a bit ridiculous.

AGENT:
@398129 We're so sorry for the extra wait today. We know how important your on time experience is and we appreciate your patience.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,CHANGE_INTENT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,False
1201453,representative,2,8,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.5368,0.0158,0.2176,2,"CUSTOMER:
@AmericanAir AMERICAN AIRLINES CARED NOTHING ABOUT THE CALIFORNIA WILDFIRES AND WOULD NOT REFUND A CANCELED TICKET BECAUSE OF THEM

AGENT:
@402295 We're sorry to hear about your friends house. Please have them reach out to us here and we'll be happy to take a closer look.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,ACCEPT,"Itinerary disruption involving cancellation, missed connection, diversion, or rebooking.",,False
1217736,representative,6,7,Baggage issues,Baggage,"Lost, delayed, damaged, checked, or carry-on baggage",high,0.7098,0.0112,0.2,2,"CUSTOMER:
@AmericanAir my 20.5lb stroller was .5 over ""20lb limit"". AA Norma said ""ur a mother. You should carry ur child. That's what mothers do"" @AmericanAir No one should be treated like that.

AGENT:
@405745 We'd like to know more, Alli. Please follow and DM your record locator so we can look into this more.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,ACCEPT,Candidate intent 'Baggage issues' is coherent with the conversation context.,,False
1219885,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4539,0.0351,0.134,2,"CUSTOMER:
So frustrated with #AmericanAirlines. Flight finally landed 4 hours late and we still don’t have a gate. Could’ve driven. @AmericanAir

AGENT:
@406210 When you land we know that you want to be able to go right to the gate, and we're so sorry this was not the case.",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,Candidate intent 'Flight delay' is coherent with the conversation context.,,True
1223956,representative,8,2,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.4909,0.0346,0.2027,2,"CUSTOMER:
@AmericanAir i hate u and southwest is better i hope u know that

AGENT:
@407127 We sure don't like hearing we've disappointed you. We'd love another chance to take care of you and fly to #AAmazing destinations.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,Dissatisfaction reflects poor service or staff response; classified as Service complaint.,,False
1224733,representative,0,1,Positive experience,Experience,Flight or crew praise,high,0.5602,0.0034,0.3481,2,"CUSTOMER:
Hi ho hi ho it's off to Cleveland I go for @51782 for Secret Service Summit! Thank you @AmericanAir #CX #custserv #Custexp

AGENT:
@191835 We hope you have an #AAwesome trip, Neen! Enjoy Cleveland.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
1242929,representative,0,3,Positive experience,Experience,Flight or crew praise,high,0.4219,0.0413,0.18,2,"CUSTOMER:
On last flight of the week before getting home. Thanks @AmericanAir and everyone else this week. Great conference. #C5Turf https://t.co/t4mhW2ol1M

AGENT:
@354318 Thanks for flying with us today!",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,"Explicit positive feedback praising airline personnel, flight service, or assistance.",,False
1243474,representative,0,3,Positive experience,Experience,Flight or crew praise,high,0.552,0.0205,0.2078,3,"CUSTOMER:
@AmericanAir thanks for giving my “fat a$$” a 500.00 V 2 take the next flight home due to your aircraft being overweight.😂 2 much NY pizza;)

AGENT:
@411717 We hope you use that voucher to take an #AAdventure sometime soon!

CUSTOMER:
@AmericanAir 😘",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
1274559,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.448,0.014,0.1417,3,"CUSTOMER:
Worst flight ever. Showed up 36 minutes late so Faith and I had to run across the airport to catch our next flight in time. Ridiculous @AmericanAir give me free stuff, I’m exhausted and mad now.

AGENT:
@418341 It's our goal to always depart on-time. We're sorry that you had to sprint to your flight this morning.

CUSTOMER:
@AmericanAir @418341 Give the man free stuff!!!!!",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,Candidate intent 'Flight delay' is coherent with the conversation context.,,False
1302468,representative,7,1,Service complaint,Customer service,"Agent, staff, responsiveness, or support quality",high,0.5056,0.091,0.025,3,"AGENT:
@421207 You're welcome! They'll get to the bottom of this and find out how we can fix this and avoid it from happening in the future.

CUSTOMER:
@AmericanAir Any update? I have not heard from anyone at American.

AGENT:
@421207 Kristopher, we've heard back from our Web Technical Support folks and we'll follow-up with you via DM.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,ACCEPT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
1352485,representative,0,9,Positive experience,Experience,Flight or crew praise,high,0.5715,0.0065,0.247,2,"CUSTOMER:
When did @AmericanAir planes gets so damn small 🤔🤔🤔

AGENT:
@365574 We have many different types of birds. Take a look here: https://t.co/Cqtk8kHZip",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
1367745,representative,2,5,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.4754,0.0393,0.0667,4,"CUSTOMER:
Worst part is not qualifying for a refund on @AmericanAir 😭😭

AGENT:
@438400 If your flight is canceled, you can receive a refund.

CUSTOMER:
@AmericanAir Not canceled, just too sick to fly

AGENT:
@438400 Some fares are more flexible than others. We'll be happy to look into the rules of your ticket.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,ACCEPT,"Itinerary disruption involving cancellation, missed connection, diversion, or rebooking.",,False
1404723,representative,5,2,Seats and fares,Seating and fares,"Seat assignment, upgrade, basic fare, or paid seating",high,0.476,0.0379,0.1333,4,"CUSTOMER:
Flying @AmericanAir 1st time 25y. Booked ahead, paid for seat#. Screwed coming and going. #amerairneveragain

AGENT:
@446592 We're sorry to hear your seat changed, Kirstin. If you didn't receive the same type of seat, a refund will follow.

CUSTOMER:
@AmericanAir Refunded 4 1st flight. Today: teeny tiny seats &amp; overhead bins. Many had 2 valet  carry-on. Miserably uncomfortable ride in extra $ seat.

AGENT:
@446592 Our apologies for your discomfort, Kristin. Please let a crew member know, maybe they can find you another seat.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,CHANGE_INTENT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,False
143222,representative,1,0,Social acknowledgement,Social,Thanks or casual mention,medium,0.5362,0.005,0.2407,2,"CUSTOMER:
Tbh @AmericanAir twitter support is so responsive. I’ve asked them like 4 questions about this trip alone and they always respond SO fast. 👏🏻👏🏻

AGENT:
@148345 We're happy to help make your travels as smooth and easy as possible!",Social,Social acknowledgement,"Greeting, casual mention, or bare thanks",reviewed,ACCEPT,Candidate intent 'Social acknowledgement' is coherent with the conversation context.,,False
1460847,representative,9,8,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.5257,0.0158,0.1493,2,"CUSTOMER:
@AmericanAir please stop trying to get people on your new credit card every flight

AGENT:
@459068 We always want to share the opportunity to take advantage of the great benefits. Our apologies for any inconvenience.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,Candidate intent 'Flight information' is coherent with the conversation context.,,False
1498331,representative,6,9,Baggage issues,Baggage,"Lost, delayed, damaged, checked, or carry-on baggage",high,0.4897,0.0024,0.114,2,"CUSTOMER:
@AmericanAir easy flight until this cluster to get bags on jetway.   This is why your #CX ratings are poor. https://t.co/QK5crU42D1

AGENT:
@467884  Our team will have your bag to you soon and you'll be on your way to your connection, Dave. We appreciate your patience.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,ACCEPT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,False
1499082,representative,3,1,Positive experience,Experience,Flight or crew praise,high,0.5132,0.039,0.1617,2,"CUSTOMER:
@AmericanAir great biz class svc LAX-LHR flt108 today, as usual. Could use better champagne though 😉 #ExecutivePlatinum #RoadWarrior

AGENT:
@468061 Thanks for the shout out, Amy. Our crew members are the #BestintheBiz! We'll forward your praises to our #AATeam.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,"Explicit positive feedback praising airline personnel, flight service, or assistance.",,False
1502263,representative,8,9,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.4786,0.0204,0.2833,4,"CUSTOMER:
.@AmericanAir slogan should be ""When you have no other travel choice, American Airlines is here to not serve you.""

AGENT:
@468683 We're sensing some frustration, Justin. How can we help you today?

CUSTOMER:
@AmericanAir The fact that I got a twitter response faster than I could talk to an agent at one of your biggest hubs says it all. Thanks!

AGENT:
@468683 We see you're checked in and ready to go for your flight this morning and assure you our #AATeam will make your experience enjoyable!",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
1524479,representative,0,1,Positive experience,Experience,Flight or crew praise,high,0.4468,0.0567,0.1773,2,"CUSTOMER:
Waiting for my @AmericanAir flight.. first business travel... and now for taking me to see my family. thAAnks :)

AGENT:
@124032 Have a great time with the family, Ross. We're glad to take you there.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
1527158,representative,6,9,Baggage issues,Baggage,"Lost, delayed, damaged, checked, or carry-on baggage",high,0.4751,0.0136,0.2,2,"CUSTOMER:
When @AmericanAir forces you to check your bag at the gate. Par for the course. Flight 2496 https://t.co/kFGHhtbzPA

AGENT:
@474212 We'd like to pass this along for internal review. Please send us a DM with your last name or record locator.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,ACCEPT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,True
1531547,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4414,0.0964,0.253,2,"CUSTOMER:
@AmericanAir why is flight 152 sitting on the tarmac? Already delayed 90 minutes.

AGENT:
@475115 We're sorry for the wait, Matt. We're just waiting on clearance, and we'll have you wheels up, soon.",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,"Dominant issue is late departure, arrival, or tarmac/gate wait with flight still operating.",,False
1533248,representative,4,7,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.524,0.0029,0.2772,2,"CUSTOMER:
Delayed with @AmericanAir again! Sometimes I regret not booking with @SouthwestAir! 😭😭😭

AGENT:
@475527 We're sorry for the wait, Gilbert. We'll keep you updated here: https://t.co/hSJ3SkyGEd",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,"Dominant issue is late departure, arrival, or tarmac/gate wait with flight still operating.",,False
1565421,representative,2,5,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.4258,0.0128,0.1833,8,"CUSTOMER:
@AmericanAir is on some bullshit

AGENT:
@457404 You seem upset. What can we do to help?

CUSTOMER:
@AmericanAir Assign me a seat instead of over booking your flights. I can’t even check in online because you have oversold the flight.

AGENT:
@457404 You can still check-in. It should give you the option to check in with out modifying seats. Contact Web Support https://t.co/9JTaYxpILx

CUSTOMER:
@AmericanAir No it doesn’t. I’ve even called your slightly english speaking hotline and they wouldn’t do it.

AGENT:
@457404 We're unable to check you in over the phone. But see our airport team as soon as you arrive and they'll get you taken care of.

CUSTOMER:
@AmericanAir exactly. Because your flight is overbooked @AmericanAir They gave me an exit row. You’re cool now. Stop overbooking those flights though.

AGENT:
@457404 We're happy our team was able to help and we appreciate your feedback. Have a fantastic flight!",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,True
1573232,representative,4,9,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.5437,0.0017,0.1077,4,"CUSTOMER:
@AmericanAir booked ticket with confirmation number NMHFOB, haven't yet received itinerary and receipt confirmation.

AGENT:
@484929 These tickets take a little extra time, but we're working on it. We appreciate your patience.

CUSTOMER:
@AmericanAir Does it take more than 24 hours ?

AGENT:
@484929 We took a peek and it's not been ticketed as of yet. Please contact our team in Reservations: https://t.co/Y3rvFiW5bQ",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,CHANGE_INTENT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,False
1578663,representative,2,4,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.4845,0.0378,0.0041,4,"CUSTOMER:
@AmericanAir a wonderful transatlantic trip today with no entertainment. Couldn’t be reset. Just broken. Twiddles thumbs

AGENT:
@486170 We're sorry for the inconvenience, Ali. Please alert a crew member and they can try to fix it.

CUSTOMER:
@AmericanAir No, they couldn’t... #ManPhl @AmericanAir Reset 3 times and not a flicker.

AGENT:
@486170 Please verify your seat number for us in DMs.  We'd like to provide some more info.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,CHANGE_INTENT,"Explicit positive feedback praising airline personnel, flight service, or assistance.",,False
1579959,representative,9,5,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.726,0.0053,0.2167,5,"CUSTOMER:
@AmericanAir am I able to use points in my Advantage account towards a gift card for a friend? I can't seem to find an answer online. I'd like to do Advantage points + some more cash = gift card

AGENT:
@486481 You can use miles towards a gift card. Check out this link: https://t.co/vtjaKiVsLq Click on redeem miles and you'll see several options.

CUSTOMER:
@AmericanAir Thanks but now I'm even more confused. To clarify, I want to use miles towards an American Airlines gift card, not Target/Home Depot/whatever like that page seems to detail. Is that possible?

AGENT:
@486481 You're not able to use AAdvantage miles to buy an American gift card.

CUSTOMER:
@AmericanAir Thanks!",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,Candidate intent 'Flight information' is coherent with the conversation context.,,False
1624289,representative,8,9,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.5688,0.0021,0.246,2,"CUSTOMER:
@AmericanAir #hungry So I'm on a 6 hr flight, and all I can get is a can of Apple juice? No food? New weight loss program? https://t.co/hVoDEd2wgv

AGENT:
@497493 We want you to be comfortable and our attendants should provide snacks. Please speak with them to see if anything's available.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,CHANGE_INTENT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,False
1628140,representative,0,9,Positive experience,Experience,Flight or crew praise,high,0.5438,0.0079,0.2065,2,"CUSTOMER:
Dear @AmericanAir bring back cocktail #bars

AGENT:
@498436 We offer all kinds of cocktails and spirits aboard our flights, Jacque. Click here for more info https://t.co/j9ZwUnZ7sY",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
1651369,representative,2,8,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.4754,0.0168,0.1,2,"CUSTOMER:
I will never book a flight with American Airlines again! First time using this airline - worst experience ever! #AmericanAirlines @AmericanAir @AmericanAir @AmericanAir I want my money back! Your airline has been a major inconvenience! Unacceptable!!!

AGENT:
@504320 That's not what we like to hear. How can we help? Meet us in DM with your record locator and more info.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,ACCEPT,Candidate intent 'Disruption recovery' is coherent with the conversation context.,,True
1656833,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4986,0.042,0.1443,2,"CUSTOMER:
How is it okay for airlines to just constantly lie to their passengers? ...Tweeted while waiting to take off 3.5 hours late because @AmericanAir is your friend who texts “On my way!” when she hasn’t left yet

AGENT:
@505576 We're sorry for the wait, Samantha. We know how important your time is and we appreciate your patience.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,CHANGE_INTENT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,True
1670374,representative,7,1,Service complaint,Customer service,"Agent, staff, responsiveness, or support quality",high,0.5658,0.0209,0.2449,2,"CUSTOMER:
Who has the absolute worst upgrade process? @AmericanAir by far. https://t.co/cG6bkFpe0P

AGENT:
@189451 We're happy to upgrade whenever possible and we've got our #wingscrossed yours clears soon!",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
1681121,representative,9,5,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.5438,0.0294,0.1647,2,"CUSTOMER:
@AmericanAir what's your policy for getting switched to an earlier flight on day of travel

AGENT:
@184993 We offer Same Day Flight Change or Standby options for purchase, Leo. Click here for more info https://t.co/ZtcjNpklsL",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,Candidate intent 'Flight information' is coherent with the conversation context.,,False
1702313,representative,1,0,Social acknowledgement,Social,Thanks or casual mention,medium,0.5982,0.0489,0.1683,3,"CUSTOMER:
Just spotted two more @AmericanAir heritage liveries at DFW today ... The first is easy but who's geeky enough to name both? (Press photos) https://t.co/AFQiD0zZBo

AGENT:
@208052 Do we get to guess, James? #HandsUp  #WeKnowWeKnow

CUSTOMER:
@AmericanAir Now that would jystvbe cheating :) I bet the folks at @68561 know though!",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,CHANGE_INTENT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,False
1707334,representative,7,1,Service complaint,Customer service,"Agent, staff, responsiveness, or support quality",high,0.6112,0.0009,0.1449,2,"CUSTOMER:
First thing I got asked was if I spoke English LMFAOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO FUCK YALL @AmericanAir @AmericanAir I know y’all see this north face jacket with the brand new bred 13s and the fresh ass fade... fuck y’all

AGENT:
@517410 We're here to help all of our customers. Please let us know if we can assist with your travels today.",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,ACCEPT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,False
