message_id,annotator_A,annotator_B,agreement,A_confidence,B_confidence,A_competing,B_competing,disagreement_type,likely_taxonomy_issue
1469620::cust1::1469616,other_non_actionable,other_acknowledgement_thanks,False,high,high,,,unclassified,pending-adjudication
1469656::cust0::1469656,flight_delay,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1478500::cust0::1478500,service_failure_complaint,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1481607::cust0::1481607,flight_delay,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1520082::cust0::1520082,other_non_actionable,baggage_delayed_lost,False,low,high,,,unclassified,pending-adjudication
1520578::cust0::1520578,service_failure_complaint,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
1521435::cust0::1521435,missed_connection_rebooking,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
1524483::cust0::1524483,flight_status_inquiry,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
1531550::cust0::1531550,flight_delay,flight_delay,True,high,high,,,agree,
1531567::cust0::1531567,seat_assignment_change,seat_assignment_change,True,high,high,refund_request,,agree,
1533972::cust2::1533969,change_fee_dispute,refund_request,False,high,high,,,hard-negative-pair,pending-adjudication
1536525::cust0::1536525,missed_connection_rebooking,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1536525::cust2::1536522,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1544463::cust1::1544462,change_fee_dispute,change_fee_dispute,True,high,high,,,agree,
1562722::cust1::1562717,missed_connection_rebooking,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
1573232::cust0::1573232,flight_status_inquiry,flight_status_inquiry,True,high,high,,,agree,
1579897::cust0::1579897,missed_connection_rebooking,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
1585599::cust1::1585598,service_failure_complaint,staff_conduct_complaint,False,high,high,,,hard-negative-pair,pending-adjudication
1590160::cust0::1590160,flight_delay,flight_delay,True,high,high,,,agree,
1590773::cust1::1590772,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1596850::cust0::1596850,missed_connection_rebooking,flight_delay,False,high,high,flight_delay,,hard-negative-pair,pending-adjudication
1599360::cust0::1599360,other_non_actionable,service_failure_complaint,False,high,high,,,unclassified,pending-adjudication
1600794::cust2::1600796,refund_request,refund_request,True,high,high,change_fee_dispute,,agree,
1611995::cust1::1611994,service_failure_complaint,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1614894::cust0::1614894,other_non_actionable,general_dissatisfaction_venting,False,low,high,,,unclassified,pending-adjudication
1624057::cust0::1624057,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
1630672::cust6::1630661,other_non_actionable,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
1635441::cust1::1635439,baggage_delayed_lost,baggage_delayed_lost,True,high,high,,,agree,
1644143::cust0::1644143,other_non_actionable,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
1656282::cust1::1656281,refund_request,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1664944::cust2::1664946,general_dissatisfaction_venting,service_failure_complaint,False,high,high,,,unclassified,pending-adjudication
1699273::cust1::1699272,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1700268::cust1::1700267,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1701232::cust2::1701229,other_non_actionable,flight_status_inquiry,False,medium,high,,,unclassified,pending-adjudication
1707356::cust3::1707353,flight_status_inquiry,other_acknowledgement_thanks,False,high,high,,,unclassified,pending-adjudication
175582::cust0::175582,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
1785093::cust0::1785093,flight_delay,flight_delay,True,high,high,,,agree,
1790262::cust0::1790262,flight_delay,flight_delay,True,high,high,,,agree,
1790711::cust0::1790711,forced_gate_check_complaint,baggage_delayed_lost,False,high,high,,,hard-negative-pair,pending-adjudication
1790965::cust1::1790964,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1796487::cust1::1796486,refund_request,refund_request,True,high,high,,,agree,
1817289::cust0::1817289,flight_delay,flight_delay,True,high,high,,,agree,
1841796::cust1::1841797,other_non_actionable,flight_delay,False,high,high,,,unclassified,pending-adjudication
1846750::cust0::1846750,flight_delay,flight_delay,True,high,high,,,agree,
1856590::cust0::1856590,service_failure_complaint,service_failure_complaint,True,high,high,,,agree,
185728::cust1::185726,flight_delay,flight_delay,True,high,high,,,agree,
1880872::cust1::1880871,refund_request,refund_request,True,high,high,,,agree,
1882959::cust0::1882959,flight_status_inquiry,flight_status_inquiry,True,high,high,,,agree,
1932508::cust0::1932508,other_non_actionable,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1940832::cust11::1940829,refund_request,refund_request,True,high,high,,,agree,
1966469::cust0::1966469,other_non_actionable,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
1967372::cust2::1967374,baggage_delayed_lost,flight_delay,False,high,high,,,unclassified,pending-adjudication
1970270::cust4::1970273,staff_conduct_complaint,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
2048688::cust0::2048688,seat_assignment_change,flight_delay,False,high,high,,,unclassified,pending-adjudication
2056126::cust0::2056126,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
2070647::cust0::2070647,forced_gate_check_complaint,forced_gate_check_complaint,True,high,high,,,agree,
2072254::cust0::2072254,flight_delay,flight_delay,True,high,high,,,agree,
2105174::cust1::2105173,missed_connection_rebooking,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2108184::cust0::2108184,baggage_delayed_lost,baggage_delayed_lost,True,high,high,,,agree,
2118837::cust1::2118836,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
2122747::cust1::2122746,other_non_actionable,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
2123351::cust0::2123351,service_failure_complaint,service_failure_complaint,True,high,high,,,agree,
2123361::cust0::2123361,other_non_actionable,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
2135881::cust0::2135881,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
2139159::cust1::2139158,positive_feedback_praise,other_non_actionable,False,high,high,,,unclassified,pending-adjudication
2148629::cust0::2148629,other_acknowledgement_thanks,positive_feedback_praise,False,high,high,,,hard-negative-pair,pending-adjudication
2158099::cust2::2158095,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
2164794::cust0::2164794,seat_assignment_change,flight_delay,False,high,high,,,unclassified,pending-adjudication
2164794::cust3::2164801,change_fee_dispute,flight_delay,False,high,high,,,unclassified,pending-adjudication
2169408::cust0::2169408,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
2174393::cust0::2174393,other_acknowledgement_thanks,positive_feedback_praise,False,high,high,,,hard-negative-pair,pending-adjudication
2174440::cust0::2174440,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
2210178::cust1::2210177,flight_status_inquiry,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
2245013::cust1::2245012,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
2250304::cust0::2250304,missed_connection_rebooking,flight_delay,False,high,high,flight_delay,,hard-negative-pair,pending-adjudication
2250364::cust1::2250363,staff_conduct_complaint,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2268182::cust12::2268202,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
2273750::cust1::2273749,other_non_actionable,other_non_actionable,True,high,high,,,agree,
2273750::cust3::2273746,other_acknowledgement_thanks,positive_feedback_praise,False,high,high,,,hard-negative-pair,pending-adjudication
228036::cust0::228036,other_non_actionable,staff_conduct_complaint,False,high,high,,,unclassified,pending-adjudication
2283607::cust1::2283606,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
2284593::cust2::2284595,flight_status_inquiry,other_acknowledgement_thanks,False,high,high,,,unclassified,pending-adjudication
2287172::cust0::2287172,forced_gate_check_complaint,flight_delay,False,high,high,service_failure_complaint,,unclassified,pending-adjudication
2301108::cust1::2301107,service_failure_complaint,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
230681::cust1::230677,flight_status_inquiry,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
2308389::cust0::2308389,flight_delay,flight_delay,True,high,high,,,agree,
2311233::cust0::2311233,flight_cancellation,change_fee_dispute,False,high,high,,,unclassified,pending-adjudication
2333700::cust0::2333700,other_non_actionable,refund_request,False,high,high,,,unclassified,pending-adjudication
2362053::cust0::2362053,other_out_of_domain,other_non_actionable,False,high,high,,,unclassified,pending-adjudication
2368377::cust4::2368381,positive_feedback_praise,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2394043::cust0::2394043,flight_status_inquiry,flight_status_inquiry,True,high,high,negative_feedback,,agree,
2401291::cust1::2401290,other_non_actionable,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2421023::cust0::2421023,seat_upgrade_request,seat_upgrade_request,True,high,high,,,agree,
2442163::cust0::2442163,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2445440::cust0::2445440,other_non_actionable,staff_conduct_complaint,False,low,high,,,unclassified,pending-adjudication
2453046::cust0::2453046,flight_delay,flight_delay,True,high,high,,,agree,
2456429::cust2::2456432,seat_assignment_change,flight_status_inquiry,False,high,high,flight_status_inquiry,,model-reasoning-disagreement,pending-adjudication
2457371::cust0::2457371,seat_assignment_change,seat_assignment_change,True,high,high,,,agree,
246057::cust2::246056,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
2476471::cust0::2476471,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
2476481::cust0::2476481,positive_feedback_praise,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2484473::cust5::2484490,flight_status_inquiry,flight_status_inquiry,True,medium,high,seat_assignment_change,,agree,
2487507::cust1::2487506,positive_feedback_praise,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2496151::cust1::2496150,other_acknowledgement_thanks,positive_feedback_praise,False,high,high,,,hard-negative-pair,pending-adjudication
2508419::cust3::2508415,positive_feedback_praise,other_acknowledgement_thanks,False,high,high,,,hard-negative-pair,pending-adjudication
2517344::cust0::2517344,refund_request,general_dissatisfaction_venting,False,high,high,general_dissatisfaction_venting,,model-reasoning-disagreement,pending-adjudication
2518504::cust0::2518504,flight_delay,general_dissatisfaction_venting,False,high,high,flight_cancellation,,unclassified,pending-adjudication
2524731::cust0::2524731,service_failure_complaint,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2532664::cust1::2532663,flight_status_inquiry,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
254221::cust2::254223,flight_delay,flight_delay,True,high,high,,,agree,
254221::cust6::254231,flight_delay,flight_delay,True,high,high,,,agree,
2542462::cust0::2542462,flight_status_inquiry,flight_status_inquiry,True,high,high,,,agree,
2551480::cust0::2551480,seat_assignment_change,seat_assignment_change,True,high,high,,,agree,
2551889::cust1::2551887,staff_conduct_complaint,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2555638::cust6::2555628,other_non_actionable,other_non_actionable,True,high,high,,,agree,
2555638::cust38::2555786,other_out_of_domain,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
255701::cust0::255701,flight_status_inquiry,flight_status_inquiry,True,low,high,other_non_actionable,,agree,
2558932::cust1::2558931,other_non_actionable,other_acknowledgement_thanks,False,high,high,,,unclassified,pending-adjudication
2565951::cust0::2565951,missed_connection_rebooking,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
256851::cust0::256851,refund_request,refund_request,True,high,high,,,agree,
2572581::cust62::2572382,positive_feedback_praise,other_non_actionable,False,high,high,,,unclassified,pending-adjudication
2572581::cust175::2572477,other_non_actionable,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2572581::cust191::2572492,other_non_actionable,other_non_actionable,True,high,high,,,agree,
257343::cust0::257343,seat_assignment_change,seat_assignment_change,True,high,high,,,agree,
2584594::cust0::2584594,service_failure_complaint,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2586568::cust0::2586568,other_out_of_domain,other_out_of_domain,True,high,high,,,agree,
2588787::cust1::2588786,other_acknowledgement_thanks,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2589772::cust0::2589772,other_non_actionable,flight_status_inquiry,False,low,high,,,unclassified,pending-adjudication
2591102::cust6::2592378,other_acknowledgement_thanks,positive_feedback_praise,False,high,high,,,hard-negative-pair,pending-adjudication
2618696::cust0::2618696,change_fee_dispute,change_fee_dispute,True,high,high,,,agree,
261892::cust1::261888,other_non_actionable,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
2641145::cust1::2641144,other_acknowledgement_thanks,positive_feedback_praise,False,high,high,,,hard-negative-pair,pending-adjudication
2643159::cust0::2643158,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
2653909::cust0::2653909,flight_delay,flight_delay,True,high,high,,,agree,
2653940::cust0::2653940,flight_cancellation,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
2692268::cust0::2692268,flight_delay,flight_delay,True,high,high,,,agree,
2699529::cust3::2699527,baggage_delayed_lost,staff_conduct_complaint,False,high,high,negative_feedback,,unclassified,pending-adjudication
2704435::cust0::2704435,change_fee_dispute,refund_request,False,high,high,,,hard-negative-pair,pending-adjudication
270661::cust0::270661,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
2707128::cust0::2707128,other_non_actionable,general_dissatisfaction_venting,False,low,high,positive_feedback_praise,,unclassified,pending-adjudication
2707232::cust0::2707232,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
2707242::cust0::2707242,other_non_actionable,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
2708081::cust0::2708081,flight_cancellation,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2712890::cust0::2712890,baggage_damaged,baggage_delayed_lost,False,high,high,,,hard-negative-pair,pending-adjudication
2744447::cust1::2744446,forced_gate_check_complaint,service_failure_complaint,False,high,high,,,unclassified,pending-adjudication
2745091::cust0::2745091,baggage_delayed_lost,baggage_delayed_lost,True,high,high,,,agree,
274649::cust0::274649,flight_delay,flight_status_inquiry,False,high,high,,,hard-negative-pair,pending-adjudication
2763820::cust0::2763820,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2767716::cust1::2767713,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
2785372::cust2::2785368,other_non_actionable,other_acknowledgement_thanks,False,high,high,,,unclassified,pending-adjudication
2789559::cust1::2789558,baggage_delayed_lost,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2797618::cust0::2797618,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
2807942::cust2::2807944,other_non_actionable,refund_request,False,high,high,,,unclassified,pending-adjudication
2853164::cust4::2853170,other_non_actionable,other_non_actionable,True,high,high,,,agree,
2853192::cust1::2853191,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
2854575::cust0::2854575,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
2862904::cust1::2862903,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2865603::cust1::2865602,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
2866731::cust0::2866731,other_non_actionable,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
2912683::cust0::2912683,change_fee_dispute,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2916767::cust0::2916767,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
2927434::cust0::2927434,missed_connection_rebooking,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
293023::cust0::293023,flight_status_inquiry,flight_status_inquiry,True,high,high,,,agree,
2959650::cust3::2959654,refund_request,change_fee_dispute,False,high,high,change_fee_dispute,,hard-negative-pair,pending-adjudication
2960856::cust0::2960856,flight_cancellation,flight_status_inquiry,False,high,high,flight_status_inquiry,,model-reasoning-disagreement,pending-adjudication
296510::cust0::296510,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2968265::cust0::2968265,staff_conduct_complaint,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
2974063::cust1::2974062,flight_status_inquiry,flight_status_inquiry,True,high,high,,,agree,
2976923::cust0::2976923,flight_cancellation,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
2977901::cust0::2977901,baggage_delayed_lost,baggage_delayed_lost,True,high,high,,,agree,
302409::cust0::302409,missed_connection_rebooking,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
302409::cust1::302407,missed_connection_rebooking,flight_cancellation,False,high,high,,,hard-negative-pair,pending-adjudication
307037::cust1::307033,flight_delay,flight_delay,True,high,high,,,agree,
307042::cust0::307042,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
321469::cust2::321471,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
333727::cust0::333727,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
335333::cust0::335333,positive_feedback_praise,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
335339::cust1::335336,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
347984::cust0::347984,baggage_delayed_lost,flight_delay,False,high,high,flight_delay,,model-reasoning-disagreement,pending-adjudication
367579::cust2::367581,flight_delay,flight_delay,True,high,high,,,agree,
373425::cust0::373425,service_failure_complaint,service_failure_complaint,True,high,high,,,agree,
376390::cust0::376390,flight_delay,flight_delay,True,high,high,,,agree,
388618::cust2::388620,positive_feedback_praise,other_non_actionable,False,high,high,,,unclassified,pending-adjudication
390884::cust0::390884,missed_connection_rebooking,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
416810::cust0::416810,baggage_delayed_lost,baggage_delayed_lost,True,high,high,,,agree,
418862::cust0::418862,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
431709::cust1::431708,forced_gate_check_complaint,seat_assignment_change,False,high,high,general_dissatisfaction_venting,,unclassified,pending-adjudication
458145::cust0::458145,other_non_actionable,flight_status_inquiry,False,low,high,,,unclassified,pending-adjudication
462748::cust0::462748,flight_delay,flight_delay,True,high,high,flight_status_inquiry,,agree,
462796::cust30::2956467,positive_feedback_praise,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
475771::cust1::475768,other_non_actionable,seat_upgrade_request,False,high,high,,,unclassified,pending-adjudication
477308::cust3::477315,refund_request,general_dissatisfaction_venting,False,high,high,change_fee_dispute,,unclassified,pending-adjudication
488967::cust3::488966,flight_delay,flight_delay,True,high,high,,,agree,
49343::cust2::49344,other_non_actionable,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
499432::cust1::499431,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
508996::cust0::508996,other_non_actionable,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
511939::cust13::511963,flight_delay,flight_delay,True,high,high,,,agree,
515559::cust0::515559,service_failure_complaint,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
520923::cust1::520919,change_fee_dispute,flight_status_inquiry,False,high,high,service_failure_complaint,,unclassified,pending-adjudication
539297::cust1::539296,forced_gate_check_complaint,flight_delay,False,high,high,,,unclassified,pending-adjudication
539315::cust4::539318,flight_delay,flight_delay,True,high,high,,,agree,
554298::cust0::554298,seat_assignment_change,refund_request,False,high,high,flight_status_inquiry,,unclassified,pending-adjudication
555633::cust1::555632,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
56181::cust0::56181,change_fee_dispute,seat_upgrade_request,False,high,high,,,unclassified,pending-adjudication
570586::cust1::570585,other_non_actionable,other_non_actionable,True,high,high,,,agree,
630138::cust0::630138,flight_delay,flight_delay,True,high,high,,,agree,
638037::cust0::638037,service_failure_complaint,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
638090::cust3::638083,flight_delay,flight_delay,True,high,high,,,agree,
668807::cust2::668802,flight_delay,general_dissatisfaction_venting,False,medium,high,general_dissatisfaction_venting,,model-reasoning-disagreement,pending-adjudication
670648::cust0::670648,missed_connection_rebooking,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
687131::cust0::687131,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
687147::cust0::687147,other_non_actionable,flight_status_inquiry,False,low,high,,,unclassified,pending-adjudication
694831::cust1::694832,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
712987::cust0::712987,flight_cancellation,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
722238::cust0::722238,seat_assignment_change,seat_assignment_change,True,high,high,change_fee_dispute,,agree,
725608::cust0::725608,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
778516::cust0::778516,flight_cancellation,positive_feedback_praise,False,high,high,,,unclassified,pending-adjudication
785196::cust0::785196,other_non_actionable,other_non_actionable,True,high,high,,,agree,
787934::cust0::787934,flight_delay,flight_delay,True,high,high,,,agree,
